City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
gondanglegi,-7.75,112.01,88.68,42,84,11.83,ID,2020-08-29 21:38
fenyi,27.81,114.67,89.01,56,0,3.91,CN,2020-08-29 21:38
troitsko-pechorsk,62.71,56.2,52.27,96,98,2.82,RU,2020-08-29 21:38
casimiro castillo,19.6,-104.43,74.57,87,100,1.88,MX,2020-08-29 21:38
ponta delgada,37.73,-25.67,73.4,83,75,9.17,PT,2020-08-29 21:38
manokwari,-0.87,134.08,83.64,71,75,11.88,ID,2020-08-29 21:38
kungurtug,50.6,97.52,47.97,84,100,2.89,RU,2020-08-29 21:38
college,64.86,-147.8,66.2,48,75,5.82,US,2020-08-29 21:38
natitingou,10.3,1.38,69.87,95,99,3.04,BJ,2020-08-29 21:38
latung,5.5,120.88,83.62,72,100,4.52,PH,2020-08-29 21:38
san quintin,30.48,-115.95,69.93,74,0,10.27,MX,2020-08-29 21:38
namie,37.48,141.0,77.0,89,75,6.13,JP,2020-08-29 21:38
grand gaube,-20.01,57.66,70.0,71,1,8.01,MU,2020-08-29 21:38
yen bai,21.7,104.87,87.33,69,83,2.39,VN,2020-08-29 21:38
puerto madryn,-42.77,-65.04,45.57,55,0,17.67,AR,2020-08-29 21:38
tiarei,-17.53,-149.33,84.2,62,40,10.29,PF,2020-08-29 21:38
gaggenau,48.8,8.33,62.01,93,100,1.12,DE,2020-08-29 21:38
esperance,-33.87,121.9,55.4,71,90,6.93,AU,2020-08-29 21:38
alofi,-19.06,-169.92,80.6,69,12,17.22,NU,2020-08-29 21:38
segovia,41.17,-4.0,48.0,21,18,5.26,ES,2020-08-29 21:38
vila velha,-20.33,-40.29,73.4,83,20,5.82,BR,2020-08-29 21:34
sept-iles,50.2,-66.38,54.0,76,75,8.05,CA,2020-08-29 21:34
hirschaid,49.82,10.99,61.0,73,98,1.66,DE,2020-08-29 21:38
merauke,-8.47,140.33,85.19,68,100,11.99,ID,2020-08-29 21:38
silver city,32.77,-108.28,87.8,20,1,10.29,US,2020-08-29 21:38
takoradi,4.88,-1.76,73.27,91,100,7.76,GH,2020-08-29 21:38
aasiaat,68.71,-52.87,37.6,88,58,7.16,GL,2020-08-29 21:38
tomesti,47.12,27.68,68.0,68,0,10.29,RO,2020-08-29 21:38
zaporizhzhya,47.82,35.18,62.01,62,43,2.24,UA,2020-08-29 21:38
akyab,20.15,92.9,83.68,79,100,4.99,MM,2020-08-29 21:38
havoysund,71.0,24.66,42.8,93,12,10.29,NO,2020-08-29 21:38
yerbogachen,61.28,108.01,64.02,56,7,8.08,RU,2020-08-29 21:35
vaitape,-16.52,-151.75,78.89,74,3,23.87,PF,2020-08-29 21:38
horgos,46.16,19.97,68.0,88,0,7.67,RS,2020-08-29 21:38
portland,45.52,-122.68,69.01,32,0,8.86,US,2020-08-29 21:38
berlevag,70.86,29.09,48.27,77,89,11.05,NO,2020-08-29 21:38
ucluelet,48.93,-125.55,64.4,59,20,18.34,CA,2020-08-29 21:35
kultuk,51.72,103.7,57.74,84,100,3.6,RU,2020-08-29 21:38
krasnoselkup,65.7,82.47,53.24,89,100,8.81,RU,2020-08-29 21:38
barmer,25.75,71.38,87.98,61,77,7.99,IN,2020-08-29 21:38
kondopoga,62.21,34.26,41.0,93,85,2.24,RU,2020-08-29 21:38
dzilam gonzalez,21.28,-88.93,84.47,70,98,8.93,MX,2020-08-29 21:38
mackenzie,55.3,-123.17,55.4,58,1,3.4,CA,2020-08-29 21:38
poum,-20.23,164.02,70.32,73,33,16.15,NC,2020-08-29 21:38
pierre,44.37,-100.35,69.8,56,1,14.99,US,2020-08-29 21:38
puerto ayacucho,5.66,-67.62,75.81,88,93,3.51,VE,2020-08-29 21:38
pinega,64.7,43.39,50.54,97,100,6.22,RU,2020-08-29 21:38
anadyr,64.75,177.48,53.6,58,75,6.71,RU,2020-08-29 21:38
nome,64.5,-165.41,59.0,77,90,10.29,US,2020-08-29 21:38
gua,22.2,85.38,82.71,72,20,4.76,IN,2020-08-29 21:38
touros,-5.2,-35.46,77.0,83,40,8.05,BR,2020-08-29 21:38
funadhoo,6.15,73.27,83.05,69,88,7.49,MV,2020-08-29 21:38
praya,14.92,-23.51,78.8,94,20,3.36,CV,2020-08-29 21:38
half moon bay,37.46,-122.43,68.0,68,20,11.41,US,2020-08-29 21:38
nishihara,26.18,127.76,89.6,79,75,10.29,JP,2020-08-29 21:38
antalaha,-14.9,50.28,69.03,87,56,8.5,MG,2020-08-29 21:38
uvinza,-5.1,30.39,64.38,63,0,4.45,TZ,2020-08-29 21:38
jiwani,25.05,61.74,81.07,82,19,6.69,PK,2020-08-29 21:38
asau,46.43,26.4,63.0,84,0,4.03,RO,2020-08-29 21:38
te anau,-45.42,167.72,51.89,71,100,7.18,NZ,2020-08-29 21:38
grindavik,63.84,-22.43,51.8,100,90,18.34,IS,2020-08-29 21:38
honiara,-9.43,159.95,93.2,67,20,16.11,SB,2020-08-29 21:38
luderitz,-26.65,15.16,49.84,58,0,15.26,NA,2020-08-29 21:38
saint-joseph,-21.37,55.62,64.4,77,50,5.82,RE,2020-08-29 21:38
pontalina,-17.52,-49.45,66.9,42,0,5.5,BR,2020-08-29 21:38
keffi,8.85,7.87,73.4,94,20,3.36,NG,2020-08-29 21:38
cao bang,22.67,106.25,88.56,55,3,3.8,VN,2020-08-29 21:35
ust-ishim,57.69,71.17,62.6,83,74,4.83,RU,2020-08-29 21:38
eraniel,8.2,77.3,84.2,79,20,6.93,IN,2020-08-29 21:38
hirara,24.8,125.28,87.8,74,75,14.99,JP,2020-08-29 21:38
naze,28.37,129.48,87.8,83,75,11.41,JP,2020-08-29 21:38
panaba,21.28,-88.27,80.87,81,96,11.12,MX,2020-08-29 21:38
pangnirtung,66.15,-65.71,42.8,87,5,5.82,CA,2020-08-29 21:38
paita,-5.09,-81.11,62.01,86,40,12.73,PE,2020-08-29 21:38
lososina,49.0,140.31,62.17,62,99,10.33,RU,2020-08-29 21:38
quatre cocos,-20.21,57.76,70.0,73,40,14.99,MU,2020-08-29 21:35
santa,17.49,120.43,85.39,72,87,6.02,PH,2020-08-29 21:38
bull savanna,17.89,-77.59,78.24,91,45,3.11,JM,2020-08-29 21:38
messina,38.19,15.55,78.01,100,20,10.29,IT,2020-08-29 21:38
ziarat,30.38,67.73,63.64,33,0,0.81,PK,2020-08-29 21:38
camacha,33.08,-16.33,71.6,60,40,9.17,PT,2020-08-29 21:38
novoagansk,61.94,76.66,61.21,78,100,1.54,RU,2020-08-29 21:38
sabzevar,36.21,57.68,69.22,33,0,9.13,IR,2020-08-29 21:38
sanming,26.25,117.62,90.64,59,5,3.62,CN,2020-08-29 21:38
diffa,13.32,12.61,76.77,69,100,4.27,NE,2020-08-29 21:38
koslan,63.46,48.9,50.79,88,100,4.59,RU,2020-08-29 21:38
akita,39.72,140.12,84.2,79,75,10.29,JP,2020-08-29 21:38
karatuzskoye,53.61,92.87,59.41,84,32,2.28,RU,2020-08-29 21:38
agnibilekrou,7.13,-3.2,67.62,99,64,2.77,CI,2020-08-29 21:38
kununurra,-15.77,128.73,87.8,26,24,11.41,AU,2020-08-29 21:38
kankon,15.02,74.02,77.0,100,75,4.7,IN,2020-08-29 21:38
rock sound,24.9,-76.2,83.89,67,12,4.61,BS,2020-08-29 21:38
hirson,49.92,4.08,55.0,100,4,3.36,FR,2020-08-29 21:38
valparaiso,-33.04,-71.63,48.2,87,0,3.36,CL,2020-08-29 21:38
tanabi,-20.63,-49.65,73.4,31,0,5.26,BR,2020-08-29 21:38
shingu,33.73,135.98,86.0,79,20,5.82,JP,2020-08-29 21:34
lamu,-2.27,40.9,75.43,84,67,11.07,KE,2020-08-29 21:38
bathsheba,13.22,-59.52,82.4,78,40,20.8,BB,2020-08-29 21:38
skibbereen,51.55,-9.27,48.2,87,75,8.05,IE,2020-08-29 21:38
nobres,-14.72,-56.33,77.58,20,0,4.05,BR,2020-08-29 21:38
nara,34.69,135.8,100.0,59,40,3.36,JP,2020-08-29 21:38
vila,42.03,-8.16,59.0,87,3,6.93,PT,2020-08-29 21:38
la tuque,47.43,-72.78,50.79,96,100,6.93,CA,2020-08-29 21:38
tanda,26.55,82.65,84.63,69,2,7.29,IN,2020-08-29 21:38
ismailia,30.6,32.27,73.15,92,0,6.13,EG,2020-08-29 21:38
kavaratti,10.57,72.64,82.13,78,100,14.47,IN,2020-08-29 21:38
labuhan,-6.88,112.21,85.35,52,100,5.5,ID,2020-08-29 21:38
wamba,8.93,8.6,71.56,92,100,4.09,NG,2020-08-29 21:38
rawlins,41.79,-107.24,62.6,48,1,9.17,US,2020-08-29 21:38
conchagua,13.31,-87.86,75.7,93,100,2.59,SV,2020-08-29 21:38
monrovia,6.3,-10.8,75.87,86,88,12.37,LR,2020-08-29 21:38
narrabri,-30.32,149.78,71.6,35,0,14.99,AU,2020-08-29 21:38
hamilton,39.18,-84.53,75.99,60,90,9.17,US,2020-08-29 21:38
mtsamboro,-12.7,45.07,69.8,83,9,3.98,YT,2020-08-29 21:38
abha,18.22,42.51,68.0,45,20,7.76,SA,2020-08-29 21:38
cidreira,-30.18,-50.21,65.53,93,99,8.08,BR,2020-08-29 21:38
sandnessjoen,66.02,12.63,42.8,93,75,1.12,NO,2020-08-29 21:38
fairbanks,64.84,-147.72,66.2,45,75,4.7,US,2020-08-29 21:35
cuorgne,45.39,7.65,64.99,96,99,1.01,IT,2020-08-29 21:38
taoudenni,22.68,-3.98,91.99,46,17,12.3,ML,2020-08-29 21:38
wanaka,-44.7,169.15,54.21,59,40,10.22,NZ,2020-08-29 21:38
jasidih,24.52,86.65,85.53,63,3,6.04,IN,2020-08-29 21:38
lekoni,-1.58,14.26,71.87,84,100,8.16,GA,2020-08-29 21:38
tateyama,34.98,139.87,89.6,62,75,4.7,JP,2020-08-29 21:38
sagua la grande,22.81,-80.08,80.6,88,20,4.7,CU,2020-08-29 21:38
camana,-16.62,-72.71,59.81,82,86,10.27,PE,2020-08-29 21:38
bethel,41.37,-73.41,71.01,94,1,1.01,US,2020-08-29 21:38
sakakah,29.97,40.21,82.4,15,0,4.7,SA,2020-08-29 21:38
burayevo,55.84,55.41,62.74,85,93,8.3,RU,2020-08-29 21:38
bairiki,1.33,172.98,89.6,66,20,11.41,KI,2020-08-29 21:38
mana,5.66,-53.78,78.04,88,100,8.37,GF,2020-08-29 21:38
castrillon,43.4,-6.79,57.2,87,90,5.82,ES,2020-08-29 21:38
zhaotong,27.32,103.72,70.14,73,97,4.92,CN,2020-08-29 21:38
kitakata,37.65,139.87,88.0,74,75,3.36,JP,2020-08-29 21:38
yambio,4.57,28.4,65.12,98,12,4.14,SS,2020-08-29 21:38
rio gallegos,-51.62,-69.22,39.2,83,85,25.28,AR,2020-08-29 21:38
victor harbor,-35.57,138.62,55.99,88,55,1.99,AU,2020-08-29 21:38
bengkulu,-3.8,102.27,86.79,56,78,4.9,ID,2020-08-29 21:38
mpongwe,-13.51,28.16,59.47,43,52,4.18,ZM,2020-08-29 21:38
plettenberg bay,-34.05,23.37,45.63,86,100,8.19,ZA,2020-08-29 21:38
yumen,40.28,97.2,68.09,30,0,1.68,CN,2020-08-29 21:38
salinopolis,-0.61,-47.36,79.61,83,57,12.88,BR,2020-08-29 21:38
vladyslavivka,45.17,35.37,68.04,62,0,6.33,UA,2020-08-29 21:38
porto novo,6.5,2.6,77.0,88,20,12.75,BJ,2020-08-29 21:38
sorong,-0.88,131.25,81.86,74,80,8.48,ID,2020-08-29 21:38
bushenyi,-0.59,30.21,59.23,97,100,2.62,UG,2020-08-29 21:38
suluq,31.67,20.25,73.99,51,0,12.57,LY,2020-08-29 21:38
tingo maria,-9.29,-76.01,71.2,64,0,2.17,PE,2020-08-29 21:38
porosozero,62.72,32.73,43.92,94,96,1.81,RU,2020-08-29 21:38
torbay,47.67,-52.73,57.0,82,75,19.46,CA,2020-08-29 21:35
kolokani,13.57,-8.03,71.74,96,99,8.88,ML,2020-08-29 21:38
skole,49.04,23.51,61.0,78,0,4.0,UA,2020-08-29 21:38
port shepstone,-30.74,30.45,57.45,59,100,18.23,ZA,2020-08-29 21:38
bogorodskoye,56.55,37.88,55.15,83,100,8.5,RU,2020-08-29 21:37
cauquenes,-35.97,-72.32,38.19,77,0,9.6,CL,2020-08-29 21:38
nauta,-4.51,-73.58,76.28,76,11,3.04,PE,2020-08-29 21:38
shu,43.6,73.76,70.0,84,0,5.01,KZ,2020-08-29 21:38
taber,49.82,-112.15,57.0,47,75,5.82,CA,2020-08-29 21:38
imbituba,-28.24,-48.67,66.2,93,20,11.41,BR,2020-08-29 21:38
zheleznodorozhnyy,55.75,38.0,59.0,100,40,4.47,RU,2020-08-29 21:38
arona,28.1,-16.68,75.2,60,75,13.87,ES,2020-08-29 21:38
srednekolymsk,67.45,153.68,50.07,54,78,4.27,RU,2020-08-29 21:38
kushima,31.46,131.23,87.8,74,20,5.82,JP,2020-08-29 21:38
sadiqabad,28.31,70.13,95.16,46,0,5.57,PK,2020-08-29 21:38
daru,-9.08,143.21,79.48,83,100,17.83,PG,2020-08-29 21:38
svetlogorsk,52.63,29.73,60.03,82,9,7.14,BY,2020-08-29 21:38
axim,4.87,-2.24,74.37,86,100,9.31,GH,2020-08-29 21:38
castelldefels,41.28,1.97,64.99,82,20,9.17,ES,2020-08-29 21:38
chapais,49.78,-74.85,51.8,81,90,6.93,CA,2020-08-29 21:38
abu kamal,34.45,40.92,79.5,24,0,7.29,SY,2020-08-29 21:38
bartica,6.4,-58.62,77.0,94,75,4.7,GY,2020-08-29 21:39
itarema,-2.92,-39.92,78.48,78,73,18.97,BR,2020-08-29 21:39
arman,59.7,150.17,57.56,45,24,6.04,RU,2020-08-29 21:39
katherine,-14.47,132.27,87.8,20,83,14.99,AU,2020-08-29 21:35
komsomolskiy,40.43,71.72,71.6,35,0,2.24,UZ,2020-08-29 21:39
fakel,57.63,53.03,57.42,95,58,6.06,RU,2020-08-29 21:39
hermiston,45.84,-119.29,80.6,28,1,14.99,US,2020-08-29 21:35
ondjiva,-17.07,15.73,54.07,35,4,7.07,AO,2020-08-29 21:39
furano,43.28,142.47,55.4,76,75,3.36,JP,2020-08-29 21:39
shimoda,34.67,138.95,84.99,79,75,1.12,JP,2020-08-29 21:39
bonthe,7.53,-12.51,75.27,89,100,10.2,SL,2020-08-29 21:39
dubbo,-32.25,148.62,68.0,56,0,17.22,AU,2020-08-29 21:39
marsh harbour,26.54,-77.06,84.15,71,63,7.67,BS,2020-08-29 21:39
namibe,-15.2,12.15,59.11,77,0,1.25,AO,2020-08-29 21:39
lesnyye polyany,55.97,37.87,59.0,77,100,6.71,RU,2020-08-29 21:39
khargone,21.82,75.6,75.79,91,100,10.02,IN,2020-08-29 21:39
luanda,-8.84,13.23,68.0,88,75,6.93,AO,2020-08-29 21:39
benguela,-12.58,13.41,66.54,85,57,1.7,AO,2020-08-29 21:39
abilene,32.45,-99.73,95.0,32,75,4.7,US,2020-08-29 21:39
riedlingen,48.15,9.48,55.4,93,100,1.12,DE,2020-08-29 21:39
ishigaki,24.34,124.16,87.8,84,40,14.99,JP,2020-08-29 21:39
nizhnevartovsk,60.93,76.55,55.4,93,90,2.24,RU,2020-08-29 21:39
nizamabad,18.67,78.12,77.76,84,27,10.31,IN,2020-08-29 21:39
lerwick,60.15,-1.15,44.6,81,100,6.93,GB,2020-08-29 21:39
